"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1506.4	0.12942
1523.97	0.12428
1541.75	0.11955
1559.73	0.11499
1577.92	0.11067
1596.33	0.10662
1614.95	0.10274
1633.79	0.099037
1652.84	0.095497
1672.12	0.092134
1691.63	0.088934
1711.36	0.085733
1731.32	0.082788
1751.51	0.079962
1771.94	0.077277
1792.61	0.074589
1813.52	0.072072
1834.67	0.069724
1856.07	0.067358
1877.72	0.065103
1899.63	0.063021
1921.78	0.060861
1944.2	0.058933
1966.88	0.056996
1989.82	0.055125
2013.03	0.053392
2036.51	0.05158
2060.26	0.050024
2084.29	0.048331
2108.6	0.046854
2133.2	0.045299
2158.08	0.043925
2183.25	0.042484
2208.72	0.04117
2234.48	0.039862
2260.55	0.038611
2286.91	0.037439
2313.59	0.036214
2340.57	0.03514
2367.87	0.034
2395.49	0.032976
2423.44	0.031971
2451.7	0.030948
2480.3	0.03004
2509.23	0.029093
2538.5	0.028188
2568.11	0.027368
2598.06	0.026502
2628.37	0.02569
2659.02	0.024939
2690.04	0.024165
2721.42	0.023422
2753.16	0.022735
2785.27	0.022044
2817.76	0.021366
2850.63	0.020742
2883.88	0.020121
2917.52	0.019486
2951.55	0.018922
2985.97	0.018371
3020.8	0.017803
3056.04	0.017267
3091.68	0.016762
3127.74	0.016276
3164.23	0.015767
3201.14	0.015306
3238.47	0.014866
3276.25	0.014432
3314.46	0.013979
3353.12	0.013575
3392.23	0.013184
3431.8	0.012804
3471.83	0.012396
3512.33	0.012036
3553.29	0.011687
3594.74	0.011343
3636.67	0.01099
3679.09	0.010663
3722	0.010354
3765.42	0.010052
3809.34	0.0097516
3853.77	0.0094513
3898.72	0.0091768
3944.2	0.0089094
3990.2	0.0086505
4036.74	0.0083803
4083.83	0.008132
4131.46	0.0078973
4179.65	0.0076696
4228.4	0.0074468
4277.73	0.0072108
4327.62	0.007001
4378.1	0.0067995
4429.17	0.0066029
4480.83	0.0064079
4533.09	0.0062093
4585.97	0.0060276
4639.46	0.0058535
4693.58	0.005685
4748.32	0.0055143
4803.71	0.005346
4859.74	0.0051894
4916.42	0.0050386
4973.77	0.0048922
5031.78	0.0047424
5090.47	0.0045965
5149.85	0.004462
5209.92	0.0043346
5270.69	0.0042094
5332.17	0.0040814
5394.36	0.0039626
5457.28	0.0038483
5520.94	0.0037366
5585.33	0.0036302
5650.48	0.0035184
5716.39	0.003417
5783.07	0.003318
5850.52	0.0032222
5918.76	0.0031292
5987.8	0.0030335
6057.64	0.0029473
6128.3	0.0028613
6199.78	0.0027782
6272.1	0.0026978
6345.25	0.0026165
6419.27	0.0025428
6494.14	0.0024704
6569.89	0.0024003
6646.52	0.0023315
6724.05	0.0022604
6802.48	0.0021961
6881.82	0.0021335
6962.09	0.0020726
7043.3	0.0020122
7125.45	0.0019512
7208.57	0.0018911
7292.65	0.0018311
7377.71	0.0017792
7463.77	0.0017304
7550.82	0.001683
7638.9	0.0016342
7728	0.001589
7818.14	0.001546
7909.33	0.0015041
8001.59	0.0014629
8094.92	0.0014227
8189.34	0.0013812
8284.86	0.0013439
8381.5	0.001307
8479.26	0.0012716
8578.16	0.0012369
8678.22	0.001202
8779.44	0.0011676
8881.85	0.001136
8985.45	0.0011049
9090.26	0.0010741
9196.29	0.0010442
9303.55	0.0010132
9412.07	0.00098495
9521.85	0.00095658
9632.92	0.00092883
9745.28	0.000903
9858.95	0.00087665
9973.94	0.00085253
10090.3	0.00082877
10208	0.00080563
10327	0.00078164
10447.5	0.00075924
10569.4	0.00073792
10692.6	0.00071645
10817.4	0.00069431
10943.5	0.00067456
11071.2	0.00065544
11200.3	0.00063495
11331	0.00061623
11463.1	0.00059813
11596.8	0.00057931
11732.1	0.00056072
11868.9	0.00054182
12007.4	0.00052407
12147.4	0.00050843
12289.1	0.00049411
12432.5	0.00047847
12577.5	0.0004645
12724.2	0.00045043
12872.6	0.00043622
13022.8	0.00042288
13174.7	0.00040864
13328.3	0.00039642
13483.8	0.00038363
13641.1	0.00037191
13800.2	0.00035974
13961.2	0.00034803
