"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
184.655	1.6256e+06
186.809	1.581e+06
188.987	1.5393e+06
191.192	1.4951e+06
193.422	1.4567e+06
195.678	1.4135e+06
197.96	1.3778e+06
200.27	1.3363e+06
202.605	1.3022e+06
204.969	1.2633e+06
207.359	1.2305e+06
209.778	1.1936e+06
212.225	1.1621e+06
214.7	1.1267e+06
217.205	1.0973e+06
219.738	1.0636e+06
222.301	1.0355e+06
224.894	1.0042e+06
227.517	976790
230.171	947780
232.856	920890
235.572	894330
238.32	867880
241.1	843210
243.912	817100
246.757	794470
249.635	770160
252.547	747910
255.493	726060
258.473	703780
261.488	683860
264.538	662450
267.623	642750
270.745	623650
273.903	604130
277.098	586630
280.33	568390
283.6	551110
286.907	534970
290.254	517640
293.64	502020
297.065	486620
300.53	470970
304.035	456880
307.581	442540
311.169	428440
314.799	415440
318.47	401960
322.185	388900
325.943	376930
329.745	364470
333.591	352850
337.482	341780
341.419	330280
345.401	319420
349.43	309030
353.506	298490
357.629	288570
361.8	279110
366.02	269550
370.29	260080
374.609	251100
378.978	242520
383.399	233600
387.871	225430
392.395	217430
396.972	209340
401.602	201290
406.287	193770
411.026	186430
415.82	179230
420.67	171990
425.577	164920
430.541	158110
435.563	151410
440.643	144820
445.783	138140
450.983	131720
456.243	125470
461.565	119320
466.948	113160
472.395	106770
477.905	100840
483.479	94719
489.119	88647
494.824	82302
500.596	75983
506.435	69518
512.342	62626
518.318	58147
524.363	56828
530.48	55537
536.667	54206
542.927	52833
549.26	51636
555.666	50465
562.148	49156
568.705	48007
575.338	46923
582.049	45766
588.838	44636
595.706	43630
602.655	42583
609.684	41503
616.796	40570
623.99	39597
631.269	38594
638.632	37728
646.081	36799
653.617	35891
661.241	35088
668.953	34179
676.756	33382
684.65	32609
692.636	31758
700.715	31052
708.888	30207
717.157	29494
725.522	28743
733.984	28058
742.546	27382
751.207	26693
759.969	26074
768.833	25395
777.801	24819
786.873	24160
796.052	23615
805.337	22986
814.73	22460
824.234	21869
833.848	21353
843.574	20805
853.413	20293
863.368	19795
873.438	19279
883.626	18823
893.933	18319
904.36	17870
914.908	17429
925.58	16960
936.376	16545
947.298	16129
958.347	15692
969.526	15297
980.834	14910
992.275	14511
1003.85	14129
1015.56	13764
1027.4	13405
1039.39	13052
1051.51	12692
1063.78	12354
1076.18	12024
1088.74	11699
1101.44	11380
1114.28	11068
1127.28	10762
1140.43	10461
1153.73	10168
1167.19	9880.5
1180.8	9598.8
1194.58	9323.4
1208.51	9052.8
1222.61	8789
1236.87	8530.5
1251.29	8268.2
1265.89	8020.9
1280.65	7778
1295.59	7534.1
1310.7	7295.3
1325.99	7063.5
1341.46	6826.8
1357.11	6602.8
1372.94	6377.8
1388.95	6152.8
1405.15	5933.2
1421.54	5713.3
1438.12	5492.4
