"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
814.73	2.1648
824.234	2.131
833.848	2.1042
843.574	2.0808
853.413	2.0588
863.368	2.0384
873.438	2.0191
883.626	2.0009
893.933	1.9807
904.36	1.9559
914.908	1.9351
925.58	1.9157
936.376	1.8976
947.298	1.8803
958.347	1.8635
969.526	1.8476
980.834	1.8173
992.275	1.7905
1003.85	1.7685
1015.56	1.7488
1027.4	1.73
1039.39	1.7127
1051.51	1.6958
1063.78	1.6718
1076.18	1.6475
1088.74	1.6277
1101.44	1.6094
1114.28	1.5923
1127.28	1.5758
1140.43	1.56
1153.73	1.4372
1167.19	1.3381
1180.8	1.2705
1194.58	1.2152
1208.51	1.1673
1222.61	1.1243
1236.87	1.0854
1251.29	1.049
1265.89	1.0158
1280.65	0.98449
1295.59	0.95558
1310.7	0.92792
1325.99	0.90141
1341.46	0.87079
1357.11	0.8429
1372.94	0.81764
1388.95	0.7936
1405.15	0.77153
1421.54	0.75011
1438.12	0.72969
1454.9	0.71005
1471.87	0.69151
1489.03	0.67333
1506.4	0.65589
1523.97	0.63897
1541.75	0.6228
1559.73	0.60647
1577.92	0.59127
1596.33	0.57694
1614.95	0.56297
1633.79	0.54936
1652.84	0.53608
1672.12	0.5233
1691.63	0.51087
1711.36	0.49829
1731.32	0.48647
1751.51	0.47497
1771.94	0.46387
1792.61	0.45263
1813.52	0.44192
1834.67	0.43172
1856.07	0.42141
1877.72	0.41133
1899.63	0.40188
1921.78	0.39204
1944.2	0.38304
1966.88	0.37397
1989.82	0.36512
2013.03	0.35674
2036.51	0.34794
2060.26	0.34017
2084.29	0.33181
2108.6	0.32426
2133.2	0.31637
2158.08	0.30917
2183.25	0.30166
2208.72	0.29461
2234.48	0.28762
2260.55	0.28084
2286.91	0.27436
2313.59	0.26764
2340.57	0.26148
2367.87	0.25506
2395.49	0.24916
2423.44	0.24332
2451.7	0.23735
2480.3	0.23186
2509.23	0.22622
2538.5	0.22078
2568.11	0.21572
2598.06	0.21039
2628.37	0.20532
2659.02	0.20054
2690.04	0.19566
2721.42	0.19087
2753.16	0.18637
2785.27	0.18187
2817.76	0.17742
2850.63	0.17321
2883.88	0.16903
2917.52	0.16476
2951.55	0.16086
2985.97	0.15702
3020.8	0.15311
3056.04	0.14935
3091.68	0.14572
3127.74	0.14224
3164.23	0.13861
3201.14	0.13523
3238.47	0.13199
3276.25	0.12876
3314.46	0.12541
3353.12	0.12239
3392.23	0.11939
3431.8	0.11649
3471.83	0.11343
3512.33	0.11066
3553.29	0.10797
3594.74	0.10526
3636.67	0.10254
3679.09	0.099942
3722	0.097494
3765.42	0.095055
3809.34	0.092645
3853.77	0.090219
3898.72	0.087971
3944.2	0.085755
3990.2	0.083611
4036.74	0.081364
4083.83	0.079293
4131.46	0.077295
4179.65	0.075348
4228.4	0.073434
4277.73	0.071418
4327.62	0.069596
4378.1	0.067829
4429.17	0.066097
4480.83	0.064377
4533.09	0.06262
4585.97	0.060996
4639.46	0.059424
4693.58	0.057893
4748.32	0.056343
4803.71	0.054805
4859.74	0.053358
4916.42	0.051955
4973.77	0.050581
5031.78	0.049173
5090.47	0.04778
5149.85	0.046503
5209.92	0.045292
5270.69	0.044096
5332.17	0.042874
5394.36	0.041728
5457.28	0.040616
