"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
7208.57	0.6681
7292.65	0.63682
7377.71	0.61775
7463.77	0.60271
7550.82	0.58786
7638.9	0.57251
7728	0.55821
7818.14	0.54447
7909.33	0.53082
8001.59	0.51761
8094.92	0.50448
8189.34	0.49091
8284.86	0.47858
8381.5	0.46625
8479.26	0.45435
8578.16	0.44275
8678.22	0.43087
8779.44	0.41909
8881.85	0.40811
8985.45	0.3972
9090.26	0.38641
9196.29	0.37577
9303.55	0.36447
9412.07	0.35387
9521.85	0.34272
9632.92	0.33183
9745.28	0.3229
9858.95	0.31392
9973.94	0.30565
10090.3	0.29749
10208	0.28945
10327	0.28101
10447.5	0.27325
10569.4	0.26567
10692.6	0.25797
10817.4	0.25013
10943.5	0.24308
11071.2	0.23619
11200.3	0.22875
11331	0.22189
11463.1	0.21521
11596.8	0.20818
11732.1	0.20108
11868.9	0.1935
12007.4	0.18669
12147.4	0.18115
12289.1	0.17597
12432.5	0.17032
12577.5	0.16523
12724.2	0.1601
12872.6	0.15479
13022.8	0.1499
13174.7	0.14448
13328.3	0.13984
13483.8	0.13486
13641.1	0.13022
13800.2	0.12535
13961.2	0.12047
14124	0.11511
14288.7	0.10864
14455.4	0.10535
14624	0.1022
14794.6	0.099146
14967.2	0.096189
15141.7	0.093175
15318.4	0.090419
15497	0.087399
15677.8	0.084741
15860.7	0.081946
16045.7	0.079204
16232.8	0.076584
16422.2	0.073721
16613.7	0.070762
16807.5	0.068528
17003.5	0.066337
17201.9	0.064217
17402.5	0.062213
17605.5	0.060233
17810.9	0.058234
18018.6	0.056284
18228.8	0.054419
18441.4	0.052586
18656.5	0.050784
18874.1	0.049005
19094.3	0.047272
19317	0.045576
19542.3	0.043908
19770.2	0.042274
20000.8	0.040664
20234.1	0.03908
20470.1	0.037521
20708.9	0.03598
20950.5	0.034435
21194.8	0.032803
21442.1	0.031338
21692.2	0.030068
21945.2	0.028818
22201.2	0.027539
22460.1	0.026346
22722.1	0.025101
22987.1	0.023935
23255.2	0.02276
23526.5	0.021573
23800.9	0.020435
24078.5	0.019309
24359.4	0.018187
24643.5	0.017058
24931	0.015938
25221.8	0.014829
25516	0.013697
25813.6	0.012516
26114.7	0.011373
26419.3	0.010231
26727.4	0.0090203
27039.2	0.0077213
27354.6	0.0063604
27673.6	0.0047571
27996.4	0.001995
28323	0.00043957
28653.3	0.00038462
28987.6	0.00031958
29325.7	0.00024001
29667.7	0.00019567
30013.8	0.00014053
30363.9	4.8843e-05
30718	2.5412e-05
31076.3	2.3281e-05
31438.8	2.0696e-05
31805.5	1.8565e-05
32176.5	1.6595e-05
32551.8	1.3751e-05
32931.5	1.1982e-05
33315.6	1.1282e-05
33704.2	1.0522e-05
34097.4	9.8248e-06
34495.1	9.1603e-06
34897.4	8.3397e-06
35304.5	7.8187e-06
35716.3	7.4122e-06
36132.9	6.9823e-06
36554.3	6.5684e-06
36980.7	6.0891e-06
37412.1	5.6107e-06
37848.4	5.3342e-06
38289.9	5.0373e-06
38736.5	4.7553e-06
39188.3	4.4508e-06
39645.4	4.1069e-06
40107.9	3.9249e-06
40575.7	3.7303e-06
41049	3.5483e-06
41527.8	3.3514e-06
42012.2	3.1615e-06
42502.2	3.0341e-06
42998	2.8977e-06
43499.5	2.7754e-06
44006.9	2.6387e-06
44520.2	2.5313e-06
45039.5	2.4357e-06
45564.8	2.3422e-06
46096.3	2.244e-06
46634	2.1517e-06
47177.9	2.0706e-06
47728.2	1.9899e-06
48284.9	1.9083e-06
48848.1	1.8268e-06
49417.9	1.7522e-06
49994.3	1.6775e-06
50577.4	1.6044e-06
51167.4	1.5305e-06
51764.2	1.4622e-06
52368	1.3924e-06
52978.8	1.3229e-06
53596.8	1.2542e-06
54221.9	1.1885e-06
54854.4	1.12e-06
55494.2	1.0441e-06
56141.5	9.8184e-07
56796.3	9.2002e-07
57458.8	8.4936e-07
58129	7.8213e-07
58807.1	7.3147e-07
59493	6.8043e-07
60186.9	6.2194e-07
60889	5.8581e-07
61599.2	5.4996e-07
62317.7	5.0759e-07
63044.6	4.7989e-07
63779.9	4.565e-07
64523.9	4.3313e-07
65276.5	4.1268e-07
66037.9	3.934e-07
66808.1	3.7352e-07
67587.4	3.5608e-07
68375.7	3.4003e-07
69173.3	3.2345e-07
69980.1	3.0752e-07
70796.4	2.9168e-07
71622.2	2.7535e-07
72457.6	2.6068e-07
73302.7	2.4591e-07
74157.8	2.3127e-07
75022.7	2.1789e-07
75897.8	2.0466e-07
76783.1	1.9195e-07
77678.7	1.795e-07
78584.8	1.6682e-07
79501.4	1.5482e-07
80428.7	1.4251e-07
81366.8	1.3045e-07
82315.9	1.1821e-07
83276.1	1.0543e-07
84247.4	9.2544e-08
85230.1	7.776e-08
86224.2	6.3594e-08
87229.9	4.9427e-08
88247.4	3.9205e-08
89276.7	3.1106e-08
90318.1	2.2666e-08
91371.5	1.196e-08
92437.3	1.9211e-09
93515.5	1.0563e-09
94606.3	9.4366e-10
95709.8	8.3737e-10
96826.2	7.2502e-10
97955.6	6.015e-10
99098.1	4.5629e-10
100254	2.4841e-10
101423	3.4631e-13
