"Energy (MeV/nuc)"	"Flux (particles/m2-s-sr-MeV/nuc)"
""	Z=1	Z=2	Z=6	Z=7	Z=8	Z=9	Z=10	Z=11	Z=12	Z=13	Z=14	Z=15	Z=16	Z=17	Z=18	Z=19	Z=20	Z=21	Z=22	Z=23	Z=24	Z=25	Z=26	Z=27	Z=28	Z=29	Z=30	Z=31	Z=32	Z=33	Z=34	Z=35	Z=36	Z=37	Z=38	Z=39	Z=40	Z=41	Z=42	Z=44	Z=45	Z=46	Z=47	Z=48	Z=49	Z=50	Z=51	Z=52	Z=53	Z=54	Z=55	Z=56	Z=57	Z=58	Z=59	Z=60	Z=62	Z=63	Z=64	Z=65	Z=66	Z=67	Z=68	Z=69	Z=70	Z=71	Z=72	Z=73	Z=74	Z=75	Z=76	Z=77	Z=78	Z=79	Z=80	Z=81	Z=82	Z=83	Z=90
1.32093	3.5362e+07	1.6746e+06	19529	5005.4	41507	1.8931	8846	724.18	8560.5	758.27	14916	9.4623	4050.3	6.9752	73.532	15.128	2003.1	3.2656	48.801	4.5579	183.96	62.715	11149	145.28	353.66	3.3983	8.3141	0.54387	1.3602	0.08158	0.8158	0.10877	0.54387	0.08158	0.27193	0.054387	0.13602	0.010877	0.054387	0.024473	0.0054387	0.016312	0.0054387	0.019032	0.0024473	0.054387	0.0038075	0.08158	0.016312	0.073419	0.0054387	0.054387	0.0054387	0.013602	0.0021752	0.010877	0.0027193	0.0010877	0.0054387	0.0008158	0.0054387	0.0010877	0.0027193	0.00054387	0.0024473	0.00054387	0.0021752	0.00024473	0.0027193	0.00054387	0.008158	0.008158	0.016312	0.0027193	0.0027193	0.0024473	0.027193	0.0016312	0.00054387
1.33929	3.4872e+07	1.6453e+06	19187	4917.7	40780	1.86	8691.1	711.5	8410.5	744.99	14654	9.2966	3979.3	6.8531	72.244	14.863	1968.1	3.2084	47.946	4.478	180.74	61.617	10954	142.73	347.46	3.3388	8.1685	0.53434	1.3364	0.080151	0.80151	0.10687	0.53434	0.080151	0.26717	0.053434	0.13364	0.010687	0.053434	0.024044	0.0053434	0.016026	0.0053434	0.018699	0.0024044	0.053434	0.0037408	0.080151	0.016026	0.072133	0.0053434	0.053434	0.0053434	0.013364	0.0021371	0.010687	0.0026717	0.0010687	0.0053434	0.00080151	0.0053434	0.0010687	0.0026717	0.00053434	0.0024044	0.00053434	0.0021371	0.00024044	0.0026717	0.00053434	0.0080151	0.0080151	0.016026	0.0026717	0.0026717	0.0024044	0.026717	0.0016026	0.00053434
1.3579	3.4386e+07	1.6163e+06	18849	4831.2	40063	1.8273	8538.2	698.99	8262.6	731.88	14397	9.1331	3909.4	6.7325	70.973	14.602	1933.4	3.152	47.103	4.3993	177.56	60.533	10761	140.22	341.35	3.2801	8.0248	0.52494	1.3129	0.078741	0.78741	0.10499	0.52494	0.078741	0.26247	0.052494	0.13129	0.010499	0.052494	0.023621	0.0052494	0.015744	0.0052494	0.01837	0.0023621	0.052494	0.003675	0.078741	0.015744	0.070864	0.0052494	0.052494	0.0052494	0.013129	0.0020996	0.010499	0.0026247	0.0010499	0.0052494	0.00078741	0.0052494	0.0010499	0.0026247	0.00052494	0.0023621	0.00052494	0.0020996	0.00023621	0.0026247	0.00052494	0.0078741	0.0078741	0.015744	0.0026247	0.0026247	0.0023621	0.026247	0.0015744	0.00052494
1.37677	3.3906e+07	1.5878e+06	18516	4745.9	39356	1.795	8387.5	686.64	8116.7	718.96	14142	8.9718	3840.3	6.6137	69.72	14.344	1899.3	3.0964	46.271	4.3216	174.43	59.464	10571	137.75	335.32	3.2222	7.8831	0.51567	1.2897	0.077351	0.77351	0.10313	0.51567	0.077351	0.25784	0.051567	0.12897	0.010313	0.051567	0.023204	0.0051567	0.015466	0.0051567	0.018045	0.0023204	0.051567	0.0036101	0.077351	0.015466	0.069613	0.0051567	0.051567	0.0051567	0.012897	0.0020625	0.010313	0.0025784	0.0010313	0.0051567	0.00077351	0.0051567	0.0010313	0.0025784	0.00051567	0.0023204	0.00051567	0.0020625	0.00023204	0.0025784	0.00051567	0.0077351	0.0077351	0.015466	0.0025784	0.0025784	0.0023204	0.025784	0.0015466	0.00051567
1.3959	3.3431e+07	1.5596e+06	18188	4661.7	38658	1.7632	8238.7	674.47	7972.8	706.21	13892	8.8127	3772.2	6.4964	68.484	14.09	1865.6	3.0415	45.451	4.245	171.34	58.41	10384	135.3	329.38	3.165	7.7433	0.50653	1.2668	0.075979	0.75979	0.10131	0.50653	0.075979	0.25326	0.050653	0.12668	0.010131	0.050653	0.022793	0.0050653	0.015192	0.0050653	0.017725	0.0022793	0.050653	0.0035461	0.075979	0.015192	0.068378	0.0050653	0.050653	0.0050653	0.012668	0.0020259	0.010131	0.0025326	0.0010131	0.0050653	0.00075979	0.0050653	0.0010131	0.0025326	0.00050653	0.0022793	0.00050653	0.0020259	0.00022793	0.0025326	0.00050653	0.0075979	0.0075979	0.015192	0.0025326	0.0025326	0.0022793	0.025326	0.0015192	0.00050653
1.4153	3.2961e+07	1.5319e+06	17864	4578.7	37969	1.7318	8092	662.46	7830.8	693.64	13644	8.6558	3705.1	6.3807	67.265	13.839	1832.4	2.9873	44.641	4.1694	168.28	57.37	10199	132.89	323.51	3.1087	7.6054	0.49751	1.2443	0.074627	0.74627	0.099502	0.49751	0.074627	0.24876	0.049751	0.12443	0.0099502	0.049751	0.022387	0.0049751	0.014921	0.0049751	0.01741	0.0022387	0.049751	0.003483	0.074627	0.014921	0.067161	0.0049751	0.049751	0.0049751	0.012443	0.0019898	0.0099502	0.0024876	0.00099502	0.0049751	0.00074627	0.0049751	0.00099502	0.0024876	0.00049751	0.0022387	0.00049751	0.0019898	0.00022387	0.0024876	0.00049751	0.0074627	0.0074627	0.014921	0.0024876	0.0024876	0.0022387	0.024876	0.0014921	0.00049751
1.43497	3.2497e+07	1.5045e+06	17545	4496.9	37291	1.7008	7947.4	650.62	7690.8	681.24	13400	8.5011	3638.8	6.2667	66.062	13.591	1799.6	2.9339	43.843	4.0948	165.28	56.344	10017	130.52	317.73	3.0531	7.4695	0.48862	1.222	0.073293	0.73293	0.097723	0.48862	0.073293	0.24431	0.048862	0.1222	0.0097723	0.048862	0.021987	0.0048862	0.014654	0.0048862	0.017099	0.0021987	0.048862	0.0034207	0.073293	0.014654	0.06596	0.0048862	0.048862	0.0048862	0.01222	0.0019543	0.0097723	0.0024431	0.00097723	0.0048862	0.00073293	0.0048862	0.00097723	0.0024431	0.00048862	0.0021987	0.00048862	0.0019543	0.00021987	0.0024431	0.00048862	0.0073293	0.0073293	0.014654	0.0024431	0.0024431	0.0021987	0.024431	0.0014654	0.00048862
1.45491	3.2037e+07	1.4775e+06	17230	4416.2	36621	1.6703	7804.7	638.94	7552.8	669.01	13160	8.3485	3573.5	6.1542	64.876	13.347	1767.3	2.8812	43.056	4.0213	162.31	55.333	9836.9	128.18	312.03	2.9983	7.3354	0.47985	1.2001	0.071977	0.71977	0.095969	0.47985	0.071977	0.23992	0.047985	0.12001	0.0095969	0.047985	0.021592	0.0047985	0.014391	0.0047985	0.016792	0.0021592	0.047985	0.0033593	0.071977	0.014391	0.064776	0.0047985	0.047985	0.0047985	0.012001	0.0019192	0.0095969	0.0023992	0.00095969	0.0047985	0.00071977	0.0047985	0.00095969	0.0023992	0.00047985	0.0021592	0.00047985	0.0019192	0.00021592	0.0023992	0.00047985	0.0071977	0.0071977	0.014391	0.0023992	0.0023992	0.0021592	0.023992	0.0014391	0.00047985
1.47513	3.1583e+07	1.4508e+06	16919	4336.6	35961	1.6402	7664.1	627.42	7416.7	656.95	12923	8.198	3509.1	6.0433	63.707	13.107	1735.5	2.8293	42.28	3.9489	159.38	54.336	9659.7	125.87	306.4	2.9443	7.2032	0.4712	1.1785	0.07068	0.7068	0.09424	0.4712	0.07068	0.2356	0.04712	0.11785	0.009424	0.04712	0.021203	0.004712	0.014132	0.004712	0.016489	0.0021203	0.04712	0.0032988	0.07068	0.014132	0.063609	0.004712	0.04712	0.004712	0.011785	0.0018846	0.009424	0.002356	0.0009424	0.004712	0.0007068	0.004712	0.0009424	0.002356	0.0004712	0.0021203	0.0004712	0.0018846	0.00021203	0.002356	0.0004712	0.007068	0.007068	0.014132	0.002356	0.002356	0.0021203	0.02356	0.0014132	0.0004712
1.49563	3.1133e+07	1.4246e+06	16613	4258.1	35311	1.6105	7525.4	616.07	7282.5	645.06	12689	8.0497	3445.6	5.9339	62.554	12.87	1704.1	2.7781	41.515	3.8774	156.5	53.352	9484.9	123.59	300.86	2.891	7.0729	0.46267	1.1572	0.069401	0.69401	0.092534	0.46267	0.069401	0.23134	0.046267	0.11572	0.0092534	0.046267	0.020819	0.0046267	0.013876	0.0046267	0.016191	0.0020819	0.046267	0.0032391	0.069401	0.013876	0.062458	0.0046267	0.046267	0.0046267	0.011572	0.0018505	0.0092534	0.0023134	0.00092534	0.0046267	0.00069401	0.0046267	0.00092534	0.0023134	0.00046267	0.0020819	0.00046267	0.0018505	0.00020819	0.0023134	0.00046267	0.0069401	0.0069401	0.013876	0.0023134	0.0023134	0.0020819	0.023134	0.0013876	0.00046267
